"2022","city","country","latitude","longitude"
13076300,"Buenos Aires","Argentina",-34.6132,-58.3772
1428214,"Cordoba","Argentina",-31.4135,-64.1811
1173533,"Rosario","Argentina",-32.9468,-60.6393
876884,"Mendoza","Argentina",-32.8908,-68.8272
781023,"San Miguel de Tucuman","Argentina",-26.8241,-65.2226
694167,"La Plata","Argentina",-34.9215,-57.9545
553935,"Mar del Plata","Argentina",-38.0004,-57.5562
512686,"Salta","Argentina",-24.7859,-65.4117
489505,"Santa Fe","Argentina",-31.6488,-60.7087
447048,"San Juan","Argentina",-31.5375,-68.5364
387158,"Resistencia","Argentina",-27.4606,-58.9839
354692,"Santiago del Estero","Argentina",-27.7951,-64.2615
339067,"Corrientes","Argentina",-27.4678,-58.8344
323739,"Posadas","Argentina",-27.3671,-55.8961
319934,"Moron","Argentina",-34.6509,-58.6196
305891,"San Salvador de Jujuy","Argentina",-24.1946,-65.2971
276546,"Bahia Blanca","Argentina",-38.7196,-62.2724
262295,"Parana","Argentina",-31.7327,-60.529
244168,"Merlo","Argentina",-34.6663,-58.7293
242092,"Neuquen","Argentina",-38.9516,-68.0591
230208,"Jose C. Paz","Argentina",-34.5154,-58.7681
230000,"Quilmes","Argentina",-34.729,-58.2637
226517,"Pilar","Argentina",-34.4587,-58.9142
221383,"Formosa","Argentina",-26.1849,-58.1731
188812,"San Fernando del Valle de Catamarca","Argentina",-28.4696,-65.7852
183982,"San Luis","Argentina",-33.295,-66.3356
167498,"Berazategui","Argentina",-34.7653,-58.2128
162620,"La Rioja","Argentina",-29.4111,-66.8507
157532,"San Miguel","Argentina",-34.5434,-58.7123
153757,"Rio Cuarto","Argentina",-33.1307,-64.3499
152198,"Balvanera","Argentina",-34.6103,-58.3977
145210,"Concordia","Argentina",-31.393,-58.0209
140850,"Comodoro Rivadavia","Argentina",-45.8641,-67.4966
138942,"Belgrano","Argentina",-34.5627,-58.4583
127742,"San Nicolas de los Arroyos","Argentina",-33.3343,-60.2108
114000,"Villa Lugano","Argentina",-34.6791,-58.4726
111424,"Santa Rosa","Argentina",-36.6167,-64.2833
109163,"San Rafael","Argentina",-34.6177,-68.3301
104325,"Tandil","Argentina",-37.3217,-59.1332
96781,"Villa Mercedes","Argentina",-33.6757,-65.4578
95394,"San Carlos de Bariloche","Argentina",-41.1456,-71.3082
93442,"Trelew","Argentina",-43.249,-65.3051
92453,"Villa Maria","Argentina",-32.4075,-63.2402
90184,"Reconquista","Argentina",-29.15,-59.65
88781,"Zarate","Argentina",-34.0981,-59.0286
88713,"Rafaela","Argentina",-31.2503,-61.4867
87652,"Pergamino","Argentina",-33.8899,-60.5736
86320,"Olavarria","Argentina",-36.8927,-60.3225
85700,"Rio Gallegos","Argentina",-51.6226,-69.2181
85007,"Junin","Argentina",-34.5838,-60.9433
82549,"San Martin","Argentina",-33.081,-68.4681
81879,"Presidencia Roque Saenz Pena","Argentina",-26.7852,-60.4388
81749,"Lujan","Argentina",-34.5703,-59.105
81612,"Campana","Argentina",-34.1633,-58.9592
80478,"Necochea","Argentina",-38.5545,-58.7396
78676,"Gualeguaychu","Argentina",-33.0094,-58.5172
77474,"Barracas","Argentina",-34.6497,-58.3834
75078,"Cipolletti","Argentina",-38.9339,-67.9903
74650,"Gobernador Galvez","Argentina",-33.0302,-60.6404
74059,"San Ramon de la Nueva Oran","Argentina",-23.1371,-64.3243
73829,"Chimbas","Argentina",-31.4833,-68.5333
73212,"General Roca","Argentina",-39.0333,-67.5833
72340,"Venado Tuerto","Argentina",-33.7456,-61.9688
70245,"Goya","Argentina",-29.1399,-59.2634
69451,"Villa Carlos Paz","Argentina",-31.4241,-64.4978
67895,"Concepcion del Uruguay","Argentina",-32.4846,-58.2322
64867,"Don Torcuato","Argentina",-34.4946,-58.6273
64555,"Puerto Madryn","Argentina",-42.7692,-65.0385
60819,"Tartagal","Argentina",-22.5164,-63.8013
60000,"Hurlingham","Argentina",-34.5904,-58.629
59072,"Santo Tome","Argentina",-31.6627,-60.7653
59062,"San Francisco","Argentina",-31.428,-62.0827
58430,"San Pedro de Jujuy","Argentina",-24.2313,-64.8661
