"2022","city","country","latitude","longitude"
10021295,"Sao Paulo","Brazil",-23.5475,-46.6361
6023699,"Rio de Janeiro","Brazil",-22.9064,-43.1822
2711840,"Salvador","Brazil",-12.9711,-38.5108
2400000,"Fortaleza","Brazil",-3.71722,-38.5431
2373224,"Belo Horizonte","Brazil",-19.9208,-43.9378
2207718,"Brasilia","Brazil",-15.7797,-47.9297
1718421,"Curitiba","Brazil",-25.4278,-49.2731
1598210,"Manaus","Brazil",-3.10194,-60.025
1478098,"Recife","Brazil",-8.05389,-34.8811
1407737,"Belem","Brazil",-1.45583,-48.5044
1372741,"Porto Alegre","Brazil",-30.0328,-51.2302
1171195,"Goiania","Brazil",-16.6786,-49.2539
1169577,"Guarulhos","Brazil",-23.4628,-46.5333
1031554,"Campinas","Brazil",-22.9056,-47.0608
1002118,"Nova Iguacu","Brazil",-22.7592,-43.4511
954991,"Maceio","Brazil",-9.66583,-35.7353
917237,"Sao Luis","Brazil",-2.52972,-44.3028
818329,"Duque de Caxias","Brazil",-22.7856,-43.3117
763043,"Natal","Brazil",-5.795,-35.2094
744512,"Teresina","Brazil",-5.08917,-42.8019
743372,"Sao Bernardo do Campo","Brazil",-23.6939,-46.565
729151,"Campo Grande","Brazil",-20.4428,-54.6464
702621,"Jaboatao","Brazil",-8.18028,-35.0014
677856,"Osasco","Brazil",-23.5325,-46.7917
662373,"Santo Andre","Brazil",-23.6639,-46.5383
650883,"Joao Pessoa","Brazil",-7.115,-34.8631
630008,"Jaboatao dos Guararapes","Brazil",-8.11278,-35.0147
627123,"Contagem","Brazil",-19.9317,-44.0536
619746,"Ribeirao Preto","Brazil",-21.1775,-47.8103
619609,"Feira de Santana","Brazil",-12.2667,-38.9667
613764,"Sao Jose dos Campos","Brazil",-23.1794,-45.8869
563536,"Uberlandia","Brazil",-18.9186,-48.2772
558862,"Sorocaba","Brazil",-23.5017,-47.4581
521934,"Cuiaba","Brazil",-15.5961,-56.0967
510770,"Aparecida de Goiania","Brazil",-16.8233,-49.2439
490175,"Aracaju","Brazil",-10.9111,-37.0717
471832,"Londrina","Brazil",-23.3103,-51.1628
470193,"Juiz de Fora","Brazil",-21.7642,-43.3503
466096,"Belford Roxo","Brazil",-22.7642,-43.3994
461304,"Joinville","Brazil",-26.3044,-48.8456
456456,"Niteroi","Brazil",-22.8833,-43.1036
454849,"Sao Joao de Meriti","Brazil",-22.8039,-43.3722
433956,"Ananindeua","Brazil",-1.36556,-48.3722
412724,"Florianopolis","Brazil",-27.5967,-48.5492
411403,"Santos","Brazil",-23.9608,-46.3336
406802,"Ribeirao das Neves","Brazil",-19.7669,-44.0867
394930,"Vila Velha","Brazil",-20.3297,-40.2925
394153,"Serra","Brazil",-20.1286,-40.3078
390633,"Diadema","Brazil",-23.6861,-46.6228
387417,"Campos dos Goytacazes","Brazil",-21.7523,-41.3304
386069,"Maua","Brazil",-23.6678,-46.4614
384000,"Betim","Brazil",-19.9678,-44.1983
381270,"Caxias do Sul","Brazil",-29.1681,-51.1794
374699,"Sao Jose do Rio Preto","Brazil",-20.8197,-49.3794
366754,"Olinda","Brazil",-8.00889,-34.8553
361112,"Carapicuiba","Brazil",-23.5227,-46.835
348936,"Campina Grande","Brazil",-7.23056,-35.8811
342209,"Piracicaba","Brazil",-22.7253,-47.6492
338936,"Macapa","Brazil",0.03889,-51.0664
336679,"Itaquaquecetuba","Brazil",-23.4861,-46.3483
335024,"Bauru","Brazil",-22.3147,-49.0606
332379,"Montes Claros","Brazil",-16.735,-43.8617
328291,"Canoas","Brazil",-29.9178,-51.1836
325746,"Mogi das Cruzes","Brazil",-23.5228,-46.1883
